model,epoch_loss,test_f1_loss,epoch_f1,test_f1_f1,epoch_best,test_best_f1
mbert_finetune_small_24h_vocab_avg/checkpoint-500_small,2.0,68.97343218214917,3.0,76.01999328583685,3.0,76.01999328583685
mbert_finetune_small_24h_vocab_avg/checkpoint-500_small25,2.0,67.08424110384894,4.0,68.50916815136259,3.0,71.0763888888889
mbert_finetune_small_24h_vocab_avg/checkpoint-500_small50,1.0,67.2966315603582,10.0,72.65684864376361,3.0,73.05783140416526
mbert_finetune_small_24h_vocab_avg/checkpoint-500_small75,1.0,61.57567472952472,4.0,72.73905484431799,3.0,75.63779870109693
mbert_finetune_small_24h_vocab_avg_small,2.0,77.39615137245045,3.0,74.32880879672098,2.0,77.39615137245045
mbert_finetune_small_24h_vocab_avg_small25,2.0,70.95956642102391,4.0,71.15201991825583,4.0,71.15201991825583
mbert_finetune_small_24h_vocab_avg_small50,1.0,63.192130731397754,5.0,73.9506903796526,6.0,74.76085356880058
mbert_finetune_small_24h_vocab_avg_small75,1.0,63.95749947758434,3.0,74.27012785528552,5.0,75.21364246024143
mbert_finetune_small_24h_vocab_max,1.0,69.46348790142942,3.0,74.01599789390053,3.0,74.01599789390053
mbert_finetune_small_24h_vocab_max/checkpoint-1000_small,1.0,70.59881098132644,2.0,74.32880879672098,5.0,75.76941866145579
mbert_finetune_small_24h_vocab_max/checkpoint-1000_small25,2.0,69.83049296703237,8.0,71.98783644491056,8.0,71.98783644491056
mbert_finetune_small_24h_vocab_max/checkpoint-1000_small50,1.0,63.6998254799302,3.0,71.29519450800915,9.0,71.9920956713558
mbert_finetune_small_24h_vocab_max/checkpoint-1000_small75,2.0,74.04500261643119,2.0,74.04500261643119,2.0,74.04500261643119
mbert_finetune_small_24h_vocab_max/checkpoint-1500_small,2.0,68.31443688586546,6.0,73.06795469686875,6.0,73.06795469686875
mbert_finetune_small_24h_vocab_max/checkpoint-1500_small25,1.0,66.27555589222764,9.0,69.94536049457001,4.0,71.70208091397005
mbert_finetune_small_24h_vocab_max/checkpoint-1500_small50,2.0,74.26739832811938,2.0,74.26739832811938,2.0,74.26739832811938
